EN,KR,ZH
barracks,병영,兵营
zerg,저그,虫族
protoss,프로토스,神族
terran,테란,人族
"engineering bay,engin bay",엔진 베이,"工程站,BE"
forge,대장간,"BF,锻炉"
blink,점멸,闪现
evolution chamber,진화실,进化腔
"cybernetics core,cybercore",사이버네틱스 코어,"BY,赛博核心"
enhanced shockwaves,강화된 충격파,EMP范围
gravitic boosters,중력 부스터,ob速度
armory,병기고,军械库
"robotics bay,robo bay",로보틱스 베이,"机械研究所,VB"
"twilight council,twilight",황혼 회랑,"光影议会,VC"
fusion core,융합의 핵,聚变芯体
fleet beacon,함대 비컨,舰队航标
factory,공장,重工厂
ghost academy,고스트 학교,幽灵军校
infestation pit,감염 구덩이,感染深渊
"robotics facility,robo",로보틱스 시설,"VR,机械台"
stargate,스타게이트,"神族VS,星门"
starport,스타포트,"星港,人族VS"
archon,아콘,白球
smart servos,스마트 서보,变形加速
gateway,게이트웨이,传送门
warpgate,워프게이트,折跃门
immortal,불멸,不朽
zealot,열렛,叉叉
nydus network,나이더스 네트워크,虫道网络
nydus worm,나이더스 웜,坑道虫
"hydralisk,hydra",히드라,刺蛇
grooved spines,이글거리는 척추,刺蛇射程
muscular augments,근육 강화,刺蛇速度
"hydralisk den,hydra den",히드라 굴,刺蛇塔
planetary fortress,행성 요새,"大地堡,行星要塞"
battle cruiser,배틀 크루저,大和
weapon refit,무기 개조,大和炮
brood lord,브루드로드,大龙
broodling,브루들링,巢虫
greater spire,초대형 공기,大龙塔
anabolic synthesis,아나볼릭 합성,大牛速度
cyclone,사이클론,导弹车
bunker,벙커,地堡
lurker,루커,地刺
seismic spines,지진 척추,地刺射程
adaptive talons,적응 탈론,地刺速埋
lurker den,루커 굴,地刺塔
widow mine,휘도우 마인,地雷
ground carapace,지상 껍질,地面单位甲壳等级
high templar,하이 템플러,电兵
shield battery,실드 배터리,电池
observer,옵저버,OB
baneling,배네린,毒爆
centrifugal hooks,원심 추진,毒爆速度
baneling nest,배네린 거점,毒爆虫巢
raven,까마귀,渡鸦
auto turret,오토 터렛,炮台
"combat shield,shield",전투 방패,盾
lair,레어,二本
missile turret,미사일 터렛,人族防空
turret,터렛,防空
spore crawler,스포어 크롤러,"虫族防空,孢子爬虫"
supply depot,보급 창고,"房子,补给站"
overlord,오버로드,"王虫,虫族房子"
pneumatized carapace,전기 화제 껍질,房子速度
mutalisk,뮤탈리스크,飞龙
spire,스파이어,飞龙塔
viper,바이퍼,飞蛇
flyer attacks,비행 공격,飞行生物攻击等级
flyer carapace,비행 껍질,飞行生物甲壳等级
tempest,태포스트,风暴
tectonic destabilizers,테크토닉 디스터버라이저,风暴伤害
phoenix,피닉스,凤凰
anion pulse-crystals,음이온 펄스 크리스탈,凤凰射程
corruptor,커럽터,腐化
infestor,인페스터,感染虫
pathogen glands,병원균 분비선,感染能量
zergling,저글링,狗
spawning pool,굴 생성 지대,狗池
metabolic boost,대사 활성화,狗速
spine crawler,스파인 크롤러,管子
marauder,마라우더,光头
ghost,고스트,鬼兵
arm silo with nuke,핵 미사일 보관소,核弹
carrier,캐리어,航母
interceptor,인터셉터,小飞机
hellion,헬리언,火车
hellbat,헬배트,火车侠
ravager,라바저,火蟑螂
nexus,넥서스,"神族基地,星灵枢纽"
"hatchery,hatch",해처리,"虫族基地,孵化场"
command center,커맨드 센터,"人族基地,指挥中心"
neosteel armor,네오스틸 아머,建筑护甲
hi-sec auto tracking,하이 섹 오토 트래킹,建筑射程
ship weapons,선박 무기,舰船武器等级
charge,차지,脚速
liberator,리버레이터,解放
advanced ballistics,고급 발리스틱스,解放射程
melee attacks,근접 공격,近战攻击等级
colossus,콜로서스,巨像
extended thermal lance,확장된 열 열창,巨像射程
creep tumor,크립 종양,菌毯
tech lab,테크 랩,科技挂件
air armor,공중 방어,空中单位护甲等级
air weapons,공중 무기,空中单位武器等级
adrenal glands,아드레날린 선,狂狗
mule,뮬,矿螺
infernal pre-igniter,지옥 선두점화 장치,蓝火
thor,토륨,雷神
warp prism,워프 프리즘,棱镜
gravitic drive,중력 드라이브,棱镜速度
dragoon,드라군,龙骑士
"cocoon,larva",까마귀,"卵,卵"
mothership,모더쉽,妈妈船
burrow,굴레,埋地
changeling,변형체,拟态虫
ultralisk,울트라리스크,牛
chitinous plating,갑피,牛甲
ultralisk cavern,울트라리스크 굴,牛塔
drone,드론,"虫族农民,工蜂"
scv,SCV,"人族农民,scv"
queen,퀸,女王
banshee,밴시,女妖
hyperflight rotors,초음속 로터,女妖提速
"photon cannon,cannon",포톤 캐논,炮台
missile attacks,미사일 공격,喷射攻击等级
assimilator,흡수기,"神族气矿,吸纳仓"
extractor,추출기,"虫族气矿,萃取房"
refinery,정제소,"人族气矿,精炼厂"
roach,로치,蟑螂
marine,마린,枪兵
sensor tower,센서 타워,圈
infantry armor,보병 방어,人族防
infantry weapons,보병 무기,人族攻
hive,군주,三本
psionic storm,사이오닉 스톰,闪电
templar archives,템플러 아카이브,闪电塔
sentry,센트리,哨兵
ground armor,지상 방어,神族防
ground weapons,지상 무기,神族攻
adept,어덥트,使徒
resonating glaives,공명하는 글레이브,使徒攻速
reactor,리액터,双倍挂件
pylon,파일론,水晶
reaper,리퍼,死神
drilling claws,드릴링 클로,速埋
swarm host,스웜 호스트,宿主
mag-field accelerator,자기장 가속기,锁定增伤
siege tank,시즈 탱크,坦克
probe,채굴자,探机
corvid reactor,까마귀 반응기,铁鸦能量
neural parasite,신경 기생충,同化完成
viking,바이킹,维京
oracle,오라클,先知
broodling,브루들링,巢虫
locust,로커스트,蝗虫
mothership core,모더쉽 코어,小妈妈船
orbital command,궤도 명령,星轨
stimpack,스팀팩,兴奋剂
void ray,보이드레이,虚空
flux vanes,플럭스 날개,虚空速度
overseer,감시자,眼虫
ignite afterburners,점화 후버너,医疗机速度
dark templar,다크 템플러,隐刀
shadow stride,그림자 질주,隐刀闪现
dark shrine,다크 신,隐刀塔
cloaking field,은폐장,隐刀隐形
personal cloaking,개인 은폐,鬼兵隐形
"medivac dropship,medivac",메디백 드롭쉽,运输机
vehicle and ship plating,차량 및 우주선 방어력,战车及舰船钢板等级
vehicle weapons,차량 무기,战车武器等级
war hound,전투 개,战狼
roach warren,로치 굴,蟑螂巢
tunneling claws,터널링 발톱,蟑螂埋地
glial reconstitution,글리알 재구성,蟑螂速度
concussive shells,충격탄,震撼弹
stalker,스토커,追猎
disruptor,디스럽터,自爆球
gas,가스,气矿
cannon rush,포대 돌격,野炮台
supply block,사급 차단,卡人口
macro,매크로,运营
micro,마이크로,微操
natural expansion,내충성 확장,开二矿
proxy,프록시,野
cyber core,사이버 코어,控制芯核
prismatic alignment,분광기 정렬,充能射线
flooding,침식,余钱
chrono boost,크로노 부스트,星空加速
cheese,치즈,狗
supply,공급,人口
war prism,전술 유리,棱镜
branda,브랜다,女王
detector,탐지기,反隐
natural,자연,二矿
pool first,풀 퍼스트,速狗开
forge first,포지 퍼스트,BF开
hatch first,해치 퍼스트,先开矿
stasis ward,안정 상태,陷阱
gas geyser,가스 광산,气矿
kite,연 끌어당기기,甩
mineral,광물,矿
worker,노동자,农民
hydra ling bane,히드라 링 베인,刺蛇狗毒爆
ling bane,저글링 베인,狗毒爆
transfuse,이식,加血
saturate,포화,满采
Pillars of Gold,<MISSING>,黄金之柱
